group1,group2,Diff,Lower,Upper,q-value,p-value
"(11, 0)","(3, 0)",1.3612392426850253,-2.913524707205208,5.6360031925752585,1.9196396797020183,0.9
"(11, 0)","(5, 1)",0.4248351648351649,-3.895719452930881,4.745389782601211,0.5927592688485275,0.9
"(11, 0)","(5, 0)",1.2807967032967031,-3.091949422687149,5.653542829280555,1.7657260865277085,0.9
"(11, 0)","(35, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(35, 0)",3.4971428571428573,-8.113998790867605,15.108284505153318,1.8156655194957214,0.9
"(11, 0)","(13, 1)",2.9838095238095237,-4.511150181723786,10.478769229342834,2.399933397204299,0.9
"(11, 0)","(13, 0)",2.8271428571428574,-3.532541341860181,9.186827056145896,2.679844531078609,0.9
"(11, 0)","(6, 1)",0.939285714285715,-4.088486102772571,5.967057531344001,1.1262104526286913,0.9
"(11, 0)","(6, 0)",0.43492063492063515,-5.0386240294965265,5.908465299337797,0.47900356199530736,0.9
"(11, 0)","(14, 1)",0.34047619047619015,-7.1544835150571195,7.8354358960095,0.27385132125775175,0.9
"(11, 0)","(14, 0)",3.032142857142857,-5.67621337886499,11.740499093150703,2.0989924102013444,0.9
"(11, 0)","(15, 1)",2.5138095238095235,-4.981150181723786,10.008769229342834,2.021903671216325,0.9
"(11, 0)","(15, 0)",2.807142857142857,-8.803998790867604,14.418284505153318,1.4574275922422761,0.9
"(11, 0)","(7, 1)",0.75,-5.055570824005231,6.555570824005231,0.7787781027248805,0.9
"(11, 0)","(7, 0)",0.7568571428571431,-4.214736689560173,5.728450975274459,0.9177315648251384,0.9
"(11, 0)","(8, 1)",0.5639682539682545,-4.909576410448907,6.037512918385416,0.6211312612296817,0.9
"(11, 0)","(8, 0)",2.268253968253968,-3.2052906961631935,7.74179863267113,2.498160912741948,0.9
"(11, 0)","(25, 1)",2.3971428571428572,-9.213998790867604,14.008284505153318,1.2445615774974756,0.9
"(11, 0)","(25, 0)",0.15714285714285747,-11.453998790867605,11.768284505153318,0.08158627742832099,0.9
"(11, 0)","(20, 1)",2.007142857142857,-9.603998790867603,13.61828450515332,1.0420792707890068,0.9
"(11, 0)","(20, 0)",4.307142857142857,-7.303998790867604,15.918284505153318,2.2362056949671567,0.9
"(11, 0)","(24, 1)",1.4571428571428573,-10.153998790867604,13.068284505153319,0.756527299789884,0.9
"(11, 0)","(24, 0)",2.2071428571428573,-9.403998790867604,13.818284505153319,1.1459163511523243,0.9
"(11, 0)","(17, 1)",2.807142857142857,-8.803998790867604,14.418284505153318,1.4574275922422761,0.9
"(11, 0)","(17, 0)",1.6838095238095234,-5.811150181723786,9.178769229342834,1.3543192614928823,0.9
"(11, 0)","(28, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(28, 0)",0.9928571428571429,-10.61828450515332,12.603998790867603,0.5154769346607542,0.9
"(11, 0)","(23, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(23, 0)",3.8928571428571432,-4.815499093150703,12.60121337886499,2.694819466571809,0.9
"(11, 0)","(33, 1)",6.392857142857143,-5.218284505153318,18.003998790867605,3.319078104470324,0.9
"(11, 0)","(33, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(30, 1)",0.6071428571428568,-11.003998790867605,12.218284505153317,0.31521970824578477,0.9
"(11, 0)","(30, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(37, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(37, 0)",2.157142857142857,-9.453998790867605,13.768284505153318,1.1199570810614947,0.9
"(11, 0)","(21, 1)",0.30714285714285694,-11.303998790867604,11.918284505153318,0.15946408770080875,0.9
"(11, 0)","(21, 0)",0.09285714285714253,-8.615499093150703,8.80121337886499,0.06428009736776769,0.9
"(11, 0)","(16, 1)",3.807142857142857,-7.803998790867604,15.418284505153318,1.9766129940588633,0.9
"(11, 0)","(16, 0)",0.08047619047619037,-7.414483515057119,7.5754358960095,0.06472849411546856,0.9
"(11, 0)","(10, 1)",0.22714285714285776,-6.58049236477845,7.034778079064165,0.20114081410970128,0.9
"(11, 0)","(10, 0)",0.6761904761904756,-6.818769229342834,8.171150181723785,0.5438725541063042,0.9
"(11, 0)","(45, 1)",3.492857142857143,-8.11828450515332,15.103998790867603,1.8134404392022216,0.9
"(11, 0)","(45, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(29, 1)",2.2071428571428573,-9.403998790867604,13.818284505153319,1.1459163511523243,0.9
"(11, 0)","(29, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(34, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(34, 0)",2.807142857142857,-8.803998790867604,14.418284505153318,1.4574275922422761,0.9
"(11, 0)","(32, 1)",3.3771428571428572,-8.233998790867604,14.988284505153318,1.753363271277731,0.9
"(11, 0)","(32, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(19, 1)",0.2878571428571428,-8.420499093150703,8.99621337886499,0.1992683018400805,0.9
"(11, 0)","(19, 0)",4.207142857142857,-7.403998790867604,15.818284505153319,2.184287154785498,0.9
"(11, 0)","(26, 1)",2.157142857142857,-9.453998790867605,13.768284505153318,1.1199570810614947,0.9
"(11, 0)","(26, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(18, 1)",0.6571428571428575,-8.05121337886499,9.365499093150703,0.45490530444881927,0.9
"(11, 0)","(18, 0)",0.9678571428571425,-7.740499093150704,9.67621337886499,0.6699963994871192,0.9
"(11, 0)","(42, 1)",0.5928571428571425,-11.018284505153318,12.203998790867605,0.30780277393411926,0.9
"(11, 0)","(42, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(22, 1)",1.1678571428571427,-7.540499093150704,9.876213378864989,0.8084458399715425,0.9
"(11, 0)","(22, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(36, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(36, 0)",1.692857142857143,-9.918284505153318,13.303998790867604,0.8789067159323652,0.9
"(11, 0)","(31, 1)",1.307142857142857,-10.303998790867604,12.918284505153318,0.6786494895173957,0.9
"(11, 0)","(31, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(41, 1)",1.807142857142857,-9.803998790867604,13.418284505153318,0.9382421904256892,0.9
"(11, 0)","(41, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(27, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(27, 0)",1.2071428571428573,-10.403998790867604,12.818284505153319,0.6267309493357373,0.9
"(11, 0)","(44, 1)",4.157142857142857,-7.453998790867605,15.768284505153318,2.1583278846946685,0.9
"(11, 0)","(44, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(40, 1)",4.992857142857143,-6.618284505153318,16.603998790867603,2.592218541927102,0.9
"(11, 0)","(40, 0)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(39, 1)",0.0,-inf,inf,0.0,0.9
"(11, 0)","(39, 0)",5.0928571428571425,-6.518284505153319,16.703998790867605,2.644137082108761,0.9
"(11, 0)","(43, 1)",0.0,-inf,inf,0.0,0.9
