,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
67,62.0,38.0,1.0034681372549006,-0.3407908644723743,2.3477271389821754,4.326015704104242,0.6386585063819293,1,1,breed_n,df,wt_kg
68,62.0,22.0,0.2247916666666674,-3.9421284256545857,4.39171175898792,0.3126313263148065,0.9,1,1,breed_n,df,wt_kg
69,62.0,11.0,3.642291666666666,-1.1227637607972207,8.407347094130554,4.429699048023744,0.5869968827798491,1,1,breed_n,df,wt_kg
70,62.0,39.0,2.4022916666666667,-1.3603809145159,6.164964247849234,3.699957743127354,0.9,1,1,breed_n,df,wt_kg
71,62.0,47.0,1.4134829812206586,-0.08271065215640072,2.9096766145977178,5.474824970685799,0.10784708309736224,1,1,breed_n,df,wt_kg
72,62.0,5.0,3.2543750000000005,-0.2127120892981731,6.721462089298174,5.439641798083419,0.11715676816068721,1,1,breed_n,df,wt_kg
73,62.0,21.0,3.3377083333333344,-4.752161541695737,11.427578208362405,2.390970979919736,0.9,1,1,breed_n,df,wt_kg
74,62.0,20.0,1.3739045698924723,-0.4710097202532131,3.2188188600381578,4.3156660506246265,0.6438139289694749,1,1,breed_n,df,wt_kg
75,62.0,33.0,2.1377083333333333,-3.64077014883029,7.916186815496957,2.143889552146493,0.9,1,1,breed_n,df,wt_kg
76,62.0,46.0,0.642291666666666,-3.1203809145159007,4.404964247849232,0.9892437535392958,0.9,1,1,breed_n,df,wt_kg
77,62.0,19.0,2.766279761904763,-0.4732041002344256,6.0057636240439525,4.948661369800617,0.3026936766470194,1,1,breed_n,df,wt_kg
78,62.0,10.0,2.577708333333333,-5.512161541695739,10.667578208362404,1.8465441567035066,0.9,1,1,breed_n,df,wt_kg
79,62.0,55.0,0.13924679487179503,-2.364190612865205,2.642684202608795,0.322341281467091,0.9,1,1,breed_n,df,wt_kg
80,62.0,28.0,2.3377083333333344,-5.752161541695737,10.427578208362405,1.6746198967404882,0.9,1,1,breed_n,df,wt_kg
81,62.0,45.0,3.3122916666666664,0.52900786008709,6.095575473246242,6.896655569108881,0.0019484304453053491,1,1,breed_n,df,wt_kg
82,62.0,49.0,0.7705006218905464,-0.7436009659028027,2.2846022096838956,2.9490724138106197,0.9,1,1,breed_n,df,wt_kg
83,62.0,59.0,0.31229166666666597,-2.4709921399129104,3.0955754732462424,0.6502350272403415,0.9,1,1,breed_n,df,wt_kg
